bitLength,rule,step,hexInitBits
100,158,100,7c9a4f2b1d3e856402fc7b9e3
100,159,100,7c9a4f2b1d3e856402fc7b9e3
100,160,100,7c9a4f2b1d3e856402fc7b9e3
100,161,100,7c9a4f2b1d3e856402fc7b9e3
100,162,100,7c9a4f2b1d3e856402fc7b9e3
100,163,100,7c9a4f2b1d3e856402fc7b9e3
100,164,100,7c9a4f2b1d3e856402fc7b9e3
100,165,100,7c9a4f2b1d3e856402fc7b9e3
100,166,100,7c9a4f2b1d3e856402fc7b9e3
100,167,100,7c9a4f2b1d3e856402fc7b9e3
100,168,100,7c9a4f2b1d3e856402fc7b9e3
100,169,100,7c9a4f2b1d3e856402fc7b9e3
100,170,100,7c9a4f2b1d3e856402fc7b9e3
100,171,100,7c9a4f2b1d3e856402fc7b9e3
100,172,100,7c9a4f2b1d3e856402fc7b9e3
100,173,100,7c9a4f2b1d3e856402fc7b9e3
100,174,100,7c9a4f2b1d3e856402fc7b9e3
100,175,100,7c9a4f2b1d3e856402fc7b9e3
100,176,100,7c9a4f2b1d3e856402fc7b9e3
100,177,100,7c9a4f2b1d3e856402fc7b9e3
100,178,100,7c9a4f2b1d3e856402fc7b9e3
100,179,100,7c9a4f2b1d3e856402fc7b9e3
100,180,100,7c9a4f2b1d3e856402fc7b9e3
100,181,100,7c9a4f2b1d3e856402fc7b9e3
100,182,100,7c9a4f2b1d3e856402fc7b9e3
100,183,100,7c9a4f2b1d3e856402fc7b9e3
100,184,100,7c9a4f2b1d3e856402fc7b9e3
100,185,100,7c9a4f2b1d3e856402fc7b9e3
100,186,100,7c9a4f2b1d3e856402fc7b9e3
100,187,100,7c9a4f2b1d3e856402fc7b9e3
100,188,100,7c9a4f2b1d3e856402fc7b9e3
100,189,100,7c9a4f2b1d3e856402fc7b9e3
100,190,100,7c9a4f2b1d3e856402fc7b9e3
100,191,100,7c9a4f2b1d3e856402fc7b9e3
100,192,100,7c9a4f2b1d3e856402fc7b9e3
100,193,100,7c9a4f2b1d3e856402fc7b9e3
100,194,100,7c9a4f2b1d3e856402fc7b9e3
100,195,100,7c9a4f2b1d3e856402fc7b9e3
100,196,100,7c9a4f2b1d3e856402fc7b9e3
100,197,100,7c9a4f2b1d3e856402fc7b9e3
100,198,100,7c9a4f2b1d3e856402fc7b9e3
100,199,100,7c9a4f2b1d3e856402fc7b9e3
100,200,100,7c9a4f2b1d3e856402fc7b9e3
100,201,100,7c9a4f2b1d3e856402fc7b9e3
100,202,100,7c9a4f2b1d3e856402fc7b9e3
100,203,100,7c9a4f2b1d3e856402fc7b9e3
100,204,100,7c9a4f2b1d3e856402fc7b9e3
100,205,100,7c9a4f2b1d3e856402fc7b9e3
100,206,100,7c9a4f2b1d3e856402fc7b9e3
100,207,100,7c9a4f2b1d3e856402fc7b9e3
100,208,100,7c9a4f2b1d3e856402fc7b9e3
100,209,100,7c9a4f2b1d3e856402fc7b9e3
100,210,100,7c9a4f2b1d3e856402fc7b9e3
100,211,100,7c9a4f2b1d3e856402fc7b9e3
100,212,100,7c9a4f2b1d3e856402fc7b9e3
100,213,100,7c9a4f2b1d3e856402fc7b9e3
100,214,100,7c9a4f2b1d3e856402fc7b9e3
100,215,100,7c9a4f2b1d3e856402fc7b9e3
100,216,100,7c9a4f2b1d3e856402fc7b9e3
